"","A","B","C","loss","t_c","m","omega","phi"
"1",9.85,-0.4,0.02,0.996946730101279,1997.97819753417,0.669704502200087,8.51208522054367,5.77879868995528
"2",9.925,-0.5,0.04,1.02822322448696,1997.93615695219,0.49324112009878,9.1050997308145,5.34476871661711
"3",10,-0.4,0.02,1.05483744736573,1998.54865299451,0.698242200165987,12.0953319394806,5.52774807933346
"4",9.775,-0.4,0.04,1.05546710463289,1997.71722767586,0.620972543737541,6.63139025436249,3.80288632514463
"5",10,-0.5,0.02,1.06324883711387,1998.13597870174,0.562864381602655,11.1860053796166,1.19419823924149
"6",10,-0.5,0.03,1.06424553855744,1998.20891704587,0.561845746201774,11.134537294313,1.76801399370996
"7",10,-0.6,0.04,1.07267753707275,1997.84886996175,0.439913889765739,8.74214504286647,5.23943843302039
"8",9.7,-0.3,0.02,1.08235956254641,1997.76351272662,0.813714629691094,6.4646240681177,4.21409358758147
"9",9.925,-0.5,0.03,1.08408948433935,1997.90269761314,0.518136938288808,7.69295873004012,5.26959417147461
"10",9.775,-0.4,0.03,1.08936323102563,1997.73664183983,0.593071651862313,8.53357747550278,4.37284576733269
"11",9.85,-0.3,0.02,1.09067055680242,1998.41712286764,0.82312930005913,11.5956680593081,4.09882670210826
"12",9.775,-0.3,0.02,1.10040653881012,1998.10916055776,0.809931595157832,11.1409246313463,1.38979565270078
"13",10,-0.5,0.04,1.10179560724333,1998.18995019427,0.556860908555488,10.1255331647117,1.47964179716476
"14",9.85,-0.5,0.04,1.10597093210722,1997.6597798933,0.429235966969281,7.80228267528582,3.14841212009366
"15",9.925,-0.4,0.02,1.11752516435081,1998.20169991292,0.695391961373389,11.2397552736802,2.72929150488725
