A,B,C1,C2,t_c,m,omega
9.73047662657562,-0.6678132185511728,0.2921258708701074,0.04882812452019042,1997.7390679230868,0.4334738147184888,5.2166192646212295
9.71473125047336,-0.7789988036359896,-0.14048575861287674,-0.25011633385497917,1997.600036816696,0.3856432117446068,5.42202031432838
9.98278163268794,-1.0509935554438048,0.03841464702788133,-0.2971307966538693,1998.9818147978283,0.6816341731097899,8.685563575159637
9.951122834815571,-0.5625196109540832,-0.031205082910455983,0.13847937073408934,1997.6638066740638,0.6019153479998929,5.743816508125291
9.713670693229819,-1.010404100091881,0.0947273552952776,-0.04995612022118212,1997.7028007912286,0.7650430495064018,6.694980728982163
9.983591967163852,-0.5428375117533709,-0.11737937997462214,0.043329544385131036,1997.8439850116517,0.7345536856404917,6.629329393909132
9.990246584758173,-0.6338743714332025,-0.1862061178046841,-0.07946441582671607,1998.0008809074002,0.5799680468953331,9.090398862253428
9.875612149000949,-0.7004153710452001,-0.10244590357699129,0.15279136288822598,1997.718355229249,0.6327449001646872,7.674069583719504
9.726341373234922,-1.0772311322226675,-0.20839855886005018,-0.08930364270107241,1997.701106708517,0.3034618115553366,8.55973680247392
9.949637925922021,-0.5295154714558399,-0.15446128218888977,-0.09914341820695122,1997.8885909410694,0.4972854975479772,9.65414332587628
9.886262443840888,-1.0305988444056517,-0.006599740859597192,0.1460909774476697,1997.6002918189768,0.5030506461609895,5.3039872280779905
9.89241308871125,-0.6238248086337758,-0.06259855084973245,-0.08765236765922188,1997.9064094592757,0.7491709310950316,5.943019909011663
